NOC,Year,X3x3.Basketball,X3x3.Basketball..Basketball,Aeronautics,Alpinism,Archery,Art.Competitions,Artistic.Gymnastics,Artistic.Swimming,Athletics,Badminton,Baseball,Baseball.Softball,Basketball,Basque.Pelota,Beach.Volleyball,Boxing,Breaking,Canoe.Slalom,Canoe.Sprint,Canoeing,Cricket,Croquet,Cycling,Cycling.BMX.Freestyle,Cycling.BMX.Racing,Cycling.Mountain.Bike,Cycling.Road,Cycling.Road..Cycling.Mountain.Bike,Cycling.Road..Cycling.Track,Cycling.Road..Triathlon,Cycling.Track,Diving,Equestrian,Equestrianism,Fencing,Figure.Skating,Football,Golf,Gymnastics,Handball,Hockey,Ice.Hockey,Jeu.De.Paume,Judo,Karate,Lacrosse,Marathon.Swimming,Marathon.Swimming..Swimming,Modern.Pentathlon,Motorboating,Polo,Racquets,Rhythmic.Gymnastics,Roque,Rowing,Rugby,Rugby.Sevens,Sailing,Shooting,Skateboarding,Softball,Sport.Climbing,Surfing,Swimming,Synchronized.Swimming,Table.Tennis,Taekwondo,Tennis,Trampoline.Gymnastics,Trampolining,Triathlon,Tug.Of.War,Volleyball,Water.Polo,Weightlifting,Wrestling,Total,Host,,,,,,
AFG,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873016,0,0,0,0,0,0,0,0,0,1,0,,,,,,
AFG,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,1,0,,,,,,
AHO,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
ALB,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020618556,2,0,,,,,,
ALG,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039548026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
ALG,1992,0,0,0,0,0,0,0,0,0.004381695,0,0,0,0,0,0,0.02380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
ALG,1996,0,0,0,0,0,0,0,0,0.003352888,0,0,0,0,0,0,0.033802818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
ALG,2000,0,0,0,0,0,0,0,0,0.037277158,0,0,0,0,0,0,0.022801303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,
ALG,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05181347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
ALG,2012,0,0,0,0,0,0,0,0,0.003072874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
